Scenario,State,Sector,Year,value
Reference,B,Transportation,2003,32.64398454
Reference,A,Electric Power,2004,8.812538
Reference,A,Residential,2004,3.38127628
Reference,A,Commercial,2004,1.901690769
Reference,A,Industrial,2004,1.618294722
Reference,A,Transportation,2004,8.066520831
Reference,B,Electric Power,2004,23.7164043
Reference,B,Residential,2004,15.11771467
Reference,B,Commercial,2004,6.599707786
Reference,B,Industrial,2004,9.122793216
Reference,B,Transportation,2004,34.49652273
Reference,A,Electric Power,2005,8.972027
Reference,A,Residential,2005,3.171861784
Reference,A,Commercial,2005,2.034295443
Reference,A,Industrial,2005,1.494872163
Reference,A,Transportation,2005,7.697439242
Reference,B,Electric Power,2005,24.43656646
Reference,B,Residential,2005,14.95564883
Reference,B,Commercial,2005,6.630305528
Reference,B,Industrial,2005,9.377973809
Reference,B,Transportation,2005,34.92300291
Reference,A,Electric Power,2006,7.568884
Reference,A,Residential,2006,2.793713578
Reference,A,Commercial,2006,1.404373948
Reference,A,Industrial,2006,1.668792358
Reference,A,Transportation,2006,7.669744897
Reference,B,Electric Power,2006,21.30676976
Reference,B,Residential,2006,12.8923082
Reference,B,Commercial,2006,5.023333055
Reference,B,Industrial,2006,9.399577325
Reference,B,Transportation,2006,33.94566708
Reference,A,Electric Power,2007,7.31
Reference,A,Residential,2007,2.801972289
Reference,A,Commercial,2007,1.45594537
Reference,A,Industrial,2007,1.410392034
Reference,A,Transportation,2007,7.829871609
Reference,B,Electric Power,2007,23.3428253
Reference,B,Residential,2007,13.58093531
Reference,B,Commercial,2007,5.343592158
Reference,B,Industrial,2007,9.329277255
Reference,B,Transportation,2007,34.39131042
Reference,A,Electric Power,2008,7.095
Reference,A,Residential,2008,2.749035398
Reference,A,Commercial,2008,1.440600962
Reference,A,Industrial,2008,1.331867487
Reference,A,Transportation,2008,7.676823276
Reference,B,Electric Power,2008,19.87826739
Reference,B,Residential,2008,14.34946369
Reference,B,Commercial,2008,5.68371801
Reference,B,Industrial,2008,9.064977143
Reference,B,Transportation,2008,34.31941344
Reference,A,Electric Power,2009,5.769880665
Reference,A,Residential,2009,2.608910611
Reference,A,Commercial,2009,1.387936086
Reference,A,Industrial,2009,1.279871913
Reference,A,Transportation,2009,7.630491518
Reference,B,Electric Power,2009,17.32734855
Reference,B,Residential,2009,13.99627022
Reference,B,Commercial,2009,5.822223687
Reference,B,Industrial,2009,8.031107449
Reference,B,Transportation,2009,31.40826501
Reference,A,Electric Power,2010,5.899447347
Reference,A,Residential,2010,2.317912794
Reference,A,Commercial,2010,1.255090457
Reference,A,Industrial,2010,1.264945121
Reference,A,Transportation,2010,7.656875838
Reference,B,Electric Power,2010,18.04542659
Reference,B,Residential,2010,13.722604
Reference,B,Commercial,2010,6.758022233
Reference,B,Industrial,2010,8.664290272
Reference,B,Transportation,2010,31.38588656
Reference,A,Electric Power,2011,5.525369107
Reference,A,Residential,2011,2.44983766
Reference,A,Commercial,2011,1.388947877
Reference,A,Industrial,2011,1.270948685
Reference,A,Transportation,2011,7.468298498
Reference,B,Electric Power,2011,14.2297705
Reference,B,Residential,2011,13.79085412
Reference,B,Commercial,2011,6.368913673
Reference,B,Industrial,2011,8.9346769
Reference,B,Transportation,2011,31.494211
Reference,A,Residential,2012,2.258480778
Reference,A,Commercial,2012,1.241335348
Reference,A,Industrial,2012,0.841814176
Reference,A,Transportation,2012,7.370839539
Reference,A,Electric Power,2012,4.0550543
Reference,B,Residential,2012,12.60662651
Reference,B,Commercial,2012,5.922475678
Reference,B,Industrial,2012,4.205308018
Reference,B,Transportation,2012,32.34956356
Reference,B,Electric Power,2012,12.69308123
Reference,A,Residential,2013,2.41724121
Reference,A,Commercial,2013,1.288531954
Reference,A,Industrial,2013,0.862506661
Reference,A,Transportation,2013,7.367415695
Reference,A,Electric Power,2013,3.982825189
Reference,B,Residential,2013,14.33403306
Reference,B,Commercial,2013,6.268500467
Reference,B,Industrial,2013,4.388801463
Reference,B,Transportation,2013,32.28617865
Reference,B,Electric Power,2013,12.42486593
Reference,A,Residential,2014,2.445987975
Reference,A,Commercial,2014,1.479917673
Reference,A,Industrial,2014,0.885510196
Reference,A,Transportation,2014,7.256909167
Reference,A,Electric Power,2014,4.043373146
Reference,B,Residential,2014,14.59908463
